# Class blue_S1 green_S1 red_S1 nir_S1 swir_1_S1 swir_2_S1 red_edge_1_S1 red_edge_2_S1 red_edge_3_S1 bcdev_S1 edev_S1 sdev_S1 NDVI_S1 LAI_S1 MNDWI_S1 rain_S1 blue_S2 green_S2 red_S2 nir_S2 swir_1_S2 swir_2_S2 red_edge_1_S2 red_edge_2_S2 red_edge_3_S2 bcdev_S2 edev_S2 sdev_S2 NDVI_S2 LAI_S2 MNDWI_S2 rain_S2 slope
1.000000 0.085200 0.121800 0.143700 0.299000 0.373800 0.261200 0.193600 0.258200 0.286000 2.934610 2.438630 6.669263 0.350987 0.806402 -0.508481 335.979309 0.101800 0.134300 0.168800 0.284500 0.416400 0.316000 0.205900 0.241900 0.263400 2.824429 2.185811 6.666928 0.255865 0.562435 -0.509761 158.702347 3.435921
1.000000 0.081450 0.116750 0.139150 0.289850 0.362650 0.259100 0.186500 0.246650 0.275150 3.002416 2.519189 6.634659 0.350441 0.776227 -0.512251 333.040894 0.098200 0.130350 0.163400 0.270650 0.403000 0.314200 0.197350 0.228650 0.247600 2.853765 2.347315 7.105690 0.245077 0.508939 -0.511764 156.504593 4.249183
0.000000 0.072100 0.104600 0.130000 0.291200 0.335700 0.229600 0.176100 0.246300 0.276700 2.538720 1.962269 5.637104 0.381404 0.836202 -0.521031 368.921021 0.086000 0.116000 0.150200 0.242300 0.376300 0.294700 0.177500 0.205100 0.223100 2.742250 2.320656 7.635872 0.237228 0.437649 -0.527591 191.493393 7.095578
0.000000 0.102950 0.137450 0.177450 0.302400 0.401650 0.284300 0.224800 0.263900 0.290350 2.835537 2.110818 5.779692 0.262791 0.594201 -0.487507 366.401062 0.131050 0.164750 0.203700 0.279950 0.439750 0.359700 0.234950 0.248500 0.267250 2.660420 2.053299 7.270466 0.158011 0.334657 -0.452616 196.539001 8.498365
0.000000 0.075300 0.107700 0.140100 0.300800 0.344800 0.227700 0.194300 0.255300 0.286600 2.686568 2.193450 5.949310 0.365337 0.795516 -0.526270 367.112885 0.092500 0.123500 0.163800 0.247800 0.390000 0.313400 0.192800 0.215600 0.234100 2.490733 2.055019 6.699440 0.207830 0.368191 -0.521765 196.404297 1.767767
1.000000 0.040800 0.077900 0.128700 0.283300 0.378950 0.298800 0.177850 0.259250 0.281200 3.227058 2.728629 6.577030 0.361963 0.613270 -0.659726 379.743378 0.053200 0.092400 0.184250 0.261450 0.455150 0.399550 0.217950 0.239000 0.254750 3.083081 2.482259 7.293544 0.176206 0.242723 -0.661296 200.696991 2.124591
0.000000 0.080200 0.113000 0.141000 0.277500 0.371800 0.255700 0.186800 0.232400 0.255800 2.477614 2.005584 5.936907 0.325848 0.692284 -0.533828 366.417572 0.090200 0.116600 0.148500 0.232500 0.389400 0.293400 0.173800 0.193700 0.211600 2.625231 2.220304 7.403355 0.220472 0.407073 -0.539130 190.055084 2.429563
0.000000 0.074300 0.108300 0.132200 0.267650 0.344700 0.253250 0.179700 0.233800 0.260100 2.764000 2.358597 6.682178 0.342016 0.699362 -0.523281 367.535187 0.082100 0.112600 0.144850 0.246700 0.373000 0.292350 0.178400 0.210900 0.229850 2.907357 2.513710 7.478269 0.261155 0.501171 -0.536272 191.242035 0.589256
0.000000 0.044000 0.066000 0.068700 0.235200 0.261000 0.171900 0.112300 0.194400 0.225700 2.769639 2.619943 7.445209 0.548173 1.042511 -0.596330 369.446625 0.061200 0.080700 0.095900 0.200700 0.308900 0.228200 0.128800 0.166800 0.186400 2.650336 2.403698 5.918129 0.349983 0.604264 -0.586790 196.555145 4.487638
0.000000 0.038100 0.059350 0.055250 0.222300 0.227250 0.140400 0.092800 0.182500 0.210850 2.907757 2.733912 6.951881 0.601714 1.070061 -0.589575 363.489685 0.053550 0.071150 0.082250 0.185650 0.283100 0.203000 0.111850 0.150500 0.169050 2.888531 2.737829 5.854265 0.387778 0.617458 -0.597203 186.920914 3.952847
1.000000 0.054550 0.098300 0.105000 0.341900 0.300650 0.223550 0.160500 0.309850 0.346550 2.665912 2.163344 4.895708 0.529714 1.270028 -0.508321 350.777649 0.084500 0.130250 0.175300 0.298150 0.391750 0.340100 0.214000 0.263750 0.285150 2.762681 2.064735 5.426344 0.250426 0.504618 -0.500383 168.045425 2.124591
1.000000 0.031400 0.059100 0.057800 0.180800 0.159400 0.103000 0.099400 0.158900 0.181400 1.949223 1.940293 3.954893 0.530394 0.726130 -0.457505 329.046417 0.034500 0.056300 0.056000 0.134100 0.082000 0.051900 0.085800 0.116100 0.130200 1.860090 2.238858 4.787895 0.410743 0.464802 -0.190995 144.202301 0.833333
1.000000 0.060150 0.097900 0.121850 0.226300 0.275250 0.233950 0.153450 0.202600 0.221500 2.063871 1.675941 4.386171 0.296098 0.508315 -0.472887 348.591309 0.075450 0.112050 0.147150 0.248350 0.331900 0.276850 0.178050 0.220500 0.240800 2.694319 2.244232 5.495588 0.253714 0.459957 -0.495806 160.592651 4.289846
1.000000 0.040100 0.071450 0.064300 0.208400 0.159200 0.102300 0.114000 0.184100 0.208100 2.317089 2.311479 4.684198 0.534833 0.908936 -0.382340 324.880859 0.035950 0.057700 0.057250 0.119200 0.068550 0.044550 0.083000 0.105400 0.116950 1.975097 2.475783 4.648748 0.345368 0.346274 -0.086578 141.081635 2.635231
1.000000 0.064700 0.118750 0.126100 0.393350 0.331400 0.252700 0.192550 0.353300 0.390050 2.890093 2.232640 5.444489 0.512009 1.294142 -0.475797 355.954285 0.114300 0.173500 0.236400 0.345150 0.464400 0.415650 0.275450 0.307100 0.326700 2.972000 2.284326 7.257863 0.186771 0.394569 -0.458540 170.417603 1.005922
1.000000 0.037400 0.065650 0.065050 0.185700 0.149300 0.094800 0.104950 0.164500 0.185050 1.922564 2.013447 4.327609 0.479849 0.729356 -0.386040 325.073425 0.040650 0.064700 0.066150 0.138800 0.099000 0.065100 0.093900 0.122550 0.134850 2.076471 2.505244 4.833593 0.355287 0.423122 -0.203493 141.244339 1.473139
1.000000 0.066600 0.109300 0.127400 0.308300 0.322100 0.254900 0.171400 0.279500 0.307500 2.707149 2.152649 5.326298 0.408131 0.907610 -0.490124 350.219116 0.081300 0.123300 0.166200 0.260300 0.358900 0.324300 0.192500 0.232600 0.253400 2.934027 2.464058 6.267408 0.211119 0.382956 -0.488594 166.803360 1.317616
1.000000 0.072100 0.101100 0.128050 0.231600 0.316900 0.236300 0.159100 0.198300 0.219500 2.605381 2.317688 5.839551 0.286815 0.520552 -0.515207 333.678070 0.085750 0.116500 0.147050 0.250750 0.370050 0.282800 0.179000 0.214900 0.234950 2.773918 2.437735 7.428120 0.262589 0.512639 -0.518284 155.994568 4.166667
1.000000 0.047150 0.086900 0.113350 0.266900 0.323700 0.221550 0.165300 0.237200 0.263000 2.161063 1.701362 4.215494 0.393782 0.734097 -0.576577 339.727173 0.056550 0.097900 0.163100 0.232000 0.418300 0.342650 0.191550 0.208550 0.223600 2.687681 2.299072 7.453259 0.169502 0.214776 -0.619510 160.947464 1.317616
