# Class blue_S1 green_S1 red_S1 nir_S1 swir_1_S1 swir_2_S1 red_edge_1_S1 red_edge_2_S1 red_edge_3_S1 bcdev_S1 edev_S1 sdev_S1 NDVI_S1 LAI_S1 MNDWI_S1 rain_S1 blue_S2 green_S2 red_S2 nir_S2 swir_1_S2 swir_2_S2 red_edge_1_S2 red_edge_2_S2 red_edge_3_S2 bcdev_S2 edev_S2 sdev_S2 NDVI_S2 LAI_S2 MNDWI_S2 rain_S2 slope
1.000000 0.076250 0.096850 0.118100 0.198000 0.303500 0.241050 0.145500 0.174150 0.193400 3.281004 2.974831 7.627868 0.246619 0.410024 -0.513989 396.462097 0.044950 0.064700 0.073650 0.204900 0.233350 0.149700 0.107650 0.166300 0.190850 3.247350 3.084904 6.240595 0.466925 0.780784 -0.562808 758.739624 3.535534
1.000000 0.101200 0.132900 0.179300 0.280900 0.412700 0.315700 0.217200 0.244400 0.270100 3.475960 2.868368 7.310073 0.217990 0.449624 -0.511467 401.850677 0.072600 0.099700 0.118900 0.248400 0.336900 0.265300 0.159300 0.214000 0.237000 3.610639 3.117678 6.976674 0.344985 0.697015 -0.543289 762.498230 3.004626
1.000000 0.094900 0.117100 0.145600 0.219500 0.376000 0.324900 0.172000 0.192900 0.211100 3.227734 2.845396 6.506585 0.199008 0.356184 -0.524155 443.320984 0.057000 0.077600 0.090600 0.199300 0.307500 0.241700 0.124000 0.166200 0.186500 3.296361 3.022240 6.567299 0.375892 0.628677 -0.598322 758.512390 1.767767
1.000000 0.081900 0.101750 0.123650 0.195950 0.332000 0.273600 0.149400 0.172800 0.190000 2.954721 2.678054 6.370847 0.225826 0.379239 -0.531052 448.267761 0.057500 0.078750 0.089400 0.199150 0.294050 0.231300 0.123050 0.166300 0.184700 3.409822 3.189129 5.925881 0.374282 0.631072 -0.573177 714.469849 3.875484
1.000000 0.088800 0.108100 0.120700 0.214700 0.292600 0.206400 0.152200 0.190000 0.210400 2.842999 2.557279 5.763195 0.282557 0.555685 -0.462280 447.205231 0.047700 0.069300 0.080000 0.230100 0.237400 0.143900 0.122400 0.187600 0.213100 3.156109 2.965628 5.865778 0.484679 0.884702 -0.548702 709.983521 3.726780
1.000000 0.090650 0.116450 0.145300 0.230950 0.349650 0.273350 0.174950 0.205200 0.226150 2.952091 2.602530 6.611531 0.233243 0.440315 -0.500065 444.720337 0.039100 0.060250 0.056000 0.206650 0.199050 0.115400 0.097000 0.170500 0.194600 2.807001 2.755117 5.148844 0.573387 0.970527 -0.534786 754.864380 1.863390
1.000000 0.082800 0.104900 0.132900 0.225800 0.313800 0.226700 0.162600 0.190500 0.213400 2.776239 2.358239 5.624871 0.269076 0.499727 -0.503600 404.259979 0.053700 0.078500 0.078600 0.234600 0.226600 0.135900 0.126300 0.195600 0.221700 2.562591 2.180795 4.420887 0.497811 0.966584 -0.486513 717.657227 4.750731
1.000000 0.074650 0.093600 0.108000 0.215300 0.275550 0.197700 0.144850 0.184950 0.207950 2.799187 2.506766 6.566299 0.325227 0.609632 -0.487401 420.930786 0.043050 0.063550 0.056450 0.225700 0.203950 0.118700 0.102200 0.188800 0.216250 2.815748 2.717714 5.706279 0.596674 1.087829 -0.531225 741.555298 6.152009
1.000000 0.086800 0.109800 0.141150 0.227850 0.342150 0.257050 0.170500 0.195800 0.218850 3.116462 2.760585 6.824369 0.235583 0.434037 -0.512549 404.469849 0.046200 0.067600 0.068800 0.203050 0.203700 0.123350 0.111000 0.166100 0.188800 2.674510 2.591705 4.839386 0.486486 0.837253 -0.493504 717.523193 4.166667
1.000000 0.077400 0.099600 0.116500 0.244950 0.306250 0.203100 0.158750 0.203700 0.230350 2.711401 2.405158 5.967211 0.350586 0.724483 -0.509080 405.603271 0.047350 0.068850 0.066850 0.209000 0.209650 0.132700 0.109100 0.175500 0.200150 3.411094 3.365524 6.155611 0.525545 0.918058 -0.505953 720.354492 5.432669
