"T","X","Y","datasets","days"
"2019--P1Y", +0168, +0084,    2,    2
"2019--P1Y", +0168, +0085,    2,    2
"2019--P1Y", +0168, +0086,    2,    2
"2019--P1Y", +0168, +0087,    2,    2
"2019--P1Y", +0168, +0088,    2,    2
"2019--P1Y", +0168, +0089,    2,    2
"2019--P1Y", +0168, +0090,    2,    2
"2019--P1Y", +0168, +0091,    2,    2
"2019--P1Y", +0168, +0092,    2,    2
"2019--P1Y", +0168, +0093,    2,    2
"2019--P1Y", +0168, +0094,    2,    2
"2019--P1Y", +0168, +0095,    2,    2
"2019--P1Y", +0168, +0096,    2,    2
"2019--P1Y", +0168, +0097,    2,    2
"2019--P1Y", +0168, +0098,    2,    2
"2019--P1Y", +0168, +0099,    2,    2
"2019--P1Y", +0168, +0100,    2,    2
"2019--P1Y", +0168, +0101,    2,    2
"2019--P1Y", +0168, +0102,    2,    2
"2019--P1Y", +0168, +0103,    2,    2
"2019--P1Y", +0168, +0104,    2,    2
"2019--P1Y", +0168, +0105,    2,    2
"2019--P1Y", +0168, +0106,    2,    2
"2019--P1Y", +0168, +0107,    2,    2
"2019--P1Y", +0168, +0108,    2,    2
"2019--P1Y", +0168, +0109,    2,    2
"2019--P1Y", +0168, +0110,    2,    2
"2019--P1Y", +0168, +0111,    2,    2
"2019--P1Y", +0168, +0112,    2,    2
"2019--P1Y", +0168, +0113,    2,    2
"2019--P1Y", +0168, +0114,    2,    2
"2019--P1Y", +0168, +0115,    2,    2
"2019--P1Y", +0168, +0116,    2,    2
"2019--P1Y", +0168, +0117,    2,    2
"2019--P1Y", +0169, +0083,    2,    2
"2019--P1Y", +0169, +0084,    2,    2
"2019--P1Y", +0169, +0085,    2,    2
"2019--P1Y", +0169, +0086,    2,    2
"2019--P1Y", +0169, +0087,    2,    2
"2019--P1Y", +0169, +0088,    2,    2
"2019--P1Y", +0169, +0089,    2,    2
"2019--P1Y", +0169, +0090,    2,    2
"2019--P1Y", +0169, +0091,    2,    2
"2019--P1Y", +0169, +0092,    2,    2
"2019--P1Y", +0169, +0093,    2,    2
"2019--P1Y", +0169, +0094,    2,    2
"2019--P1Y", +0169, +0095,    2,    2
"2019--P1Y", +0169, +0096,    2,    2
"2019--P1Y", +0169, +0097,    2,    2
"2019--P1Y", +0169, +0098,    2,    2
"2019--P1Y", +0169, +0099,    2,    2
"2019--P1Y", +0169, +0100,    2,    2
"2019--P1Y", +0169, +0101,    2,    2
"2019--P1Y", +0169, +0102,    2,    2
"2019--P1Y", +0169, +0103,    2,    2
"2019--P1Y", +0169, +0104,    2,    2
"2019--P1Y", +0169, +0105,    2,    2
"2019--P1Y", +0169, +0106,    2,    2
"2019--P1Y", +0169, +0107,    2,    2
"2019--P1Y", +0169, +0108,    2,    2
"2019--P1Y", +0169, +0109,    2,    2
"2019--P1Y", +0169, +0110,    2,    2
"2019--P1Y", +0169, +0111,    2,    2
"2019--P1Y", +0169, +0112,    2,    2
"2019--P1Y", +0169, +0113,    2,    2
"2019--P1Y", +0169, +0114,    2,    2
"2019--P1Y", +0169, +0115,    2,    2
"2019--P1Y", +0169, +0116,    2,    2
"2019--P1Y", +0169, +0117,    2,    2
"2019--P1Y", +0169, +0118,    2,    2
"2019--P1Y", +0170, +0082,    2,    2
"2019--P1Y", +0170, +0083,    2,    2
"2019--P1Y", +0170, +0084,    2,    2
"2019--P1Y", +0170, +0085,    2,    2
"2019--P1Y", +0170, +0086,    2,    2
"2019--P1Y", +0170, +0087,    2,    2
"2019--P1Y", +0170, +0088,    2,    2
"2019--P1Y", +0170, +0089,    2,    2
"2019--P1Y", +0170, +0090,    2,    2
"2019--P1Y", +0170, +0091,    2,    2
"2019--P1Y", +0170, +0092,    2,    2
"2019--P1Y", +0170, +0093,    2,    2
"2019--P1Y", +0170, +0094,    2,    2
"2019--P1Y", +0170, +0095,    2,    2
"2019--P1Y", +0170, +0096,    2,    2
"2019--P1Y", +0170, +0097,    2,    2
"2019--P1Y", +0170, +0098,    2,    2
"2019--P1Y", +0170, +0099,    2,    2
"2019--P1Y", +0170, +0100,    2,    2
"2019--P1Y", +0170, +0101,    2,    2
"2019--P1Y", +0170, +0102,    2,    2
"2019--P1Y", +0170, +0103,    2,    2
"2019--P1Y", +0170, +0104,    2,    2
"2019--P1Y", +0170, +0105,    2,    2
"2019--P1Y", +0170, +0106,    2,    2
"2019--P1Y", +0170, +0107,    2,    2
"2019--P1Y", +0170, +0108,    2,    2
"2019--P1Y", +0170, +0109,    2,    2
"2019--P1Y", +0170, +0110,    2,    2
"2019--P1Y", +0170, +0111,    2,    2
"2019--P1Y", +0170, +0112,    2,    2
"2019--P1Y", +0170, +0113,    2,    2
"2019--P1Y", +0170, +0114,    2,    2
"2019--P1Y", +0170, +0115,    2,    2
"2019--P1Y", +0170, +0116,    2,    2
"2019--P1Y", +0170, +0117,    2,    2
